student_id,lecture_watch_pct,checklist_pct,attended_live_class,attended_group_discussion,qa_participation_pct,dropout,recommended_activities
S022_D1,47,35,0,0,35,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S238_D1,45,58,0,0,47,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S241_D1,56,47,1,1,36,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S161_D1,54,46,0,1,52,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S412_D0,73,82,1,0,75,0,Join group discussions to improve collaboration and communication skills.
S179_D1,63,59,1,0,24,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S127_D1,33,36,0,0,36,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S014_D1,27,48,0,1,52,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S360_D1,38,50,0,0,31,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S137_D0,77,89,1,1,58,0,Participate more in Q&A to clarify doubts and boost retention.
S312_D1,53,52,0,0,42,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S077_D0,85,82,0,1,86,0,Attend live classes to get real-time support and stay engaged.
S137_D1,46,42,1,1,35,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S474_D1,59,62,1,1,45,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S439_D1,70,48,1,0,29,1,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S400_D1,54,60,1,0,44,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
